time,tas,hurs,ps
2000-01-01,5.151062,88.91861,98933.195
2000-02-01,5.363434,85.728355,98415.9
2000-03-01,9.040375,81.539276,98030.53
2000-04-01,14.068787,77.60183,98249.6
2000-05-01,19.34085,76.91038,98482.62
2000-06-01,22.936432,70.999306,98165.64
2000-07-01,25.665283,77.85151,98367.2
2000-08-01,24.478394,59.41825,97747.07
2000-09-01,20.55017,65.59893,98092.02
2000-10-01,15.623779,63.220753,98454.54
2000-11-01,7.5715027,83.28969,98488.17
2000-12-01,3.5316162,81.13678,98937.4
2001-01-01,2.7273865,85.81976,98150.87
2001-02-01,6.522949,83.09407,98635.24
2001-03-01,9.756134,84.761375,98304.34
2001-04-01,10.942505,79.82717,98286.87
2001-05-01,18.110992,70.82999,98458.31
2001-06-01,25.193787,66.63527,98051.734
2001-07-01,25.492554,75.9366,97950.445
2001-08-01,28.070557,56.576782,97857.586
2001-09-01,22.240509,66.90771,98165.83
2001-10-01,11.966522,72.8115,98072.92
2001-11-01,11.36377,85.14205,98028.71
2001-12-01,6.484497,86.97984,98237.95
2002-01-01,1.8248291,85.35337,98848.81
2002-02-01,6.7720947,82.73191,98495.15
2002-03-01,9.138275,78.5652,98544.73
2002-04-01,12.139404,66.642494,98353.45
2002-05-01,19.379944,66.21735,98159.99
2002-06-01,21.648804,68.0623,98028.65
2002-07-01,26.400177,69.83315,97921.51
2002-08-01,27.533905,47.18703,97951.016
2002-09-01,22.383728,68.50473,97874.305
2002-10-01,15.4133,64.02683,98528.59
2002-11-01,9.563812,85.90527,98462.32
2002-12-01,3.5743103,81.4494,98760.336
2003-01-01,9.531891,90.38708,99088.21
2003-02-01,7.1190796,85.62495,98687.36
2003-03-01,7.828888,80.57913,98605.49
2003-04-01,17.34793,77.66431,98558.13
2003-05-01,19.17453,82.86778,98504.33
2003-06-01,21.94226,71.974785,98271.484
2003-07-01,25.903015,69.88568,97933.71
2003-08-01,24.173248,87.946,97960.59
2003-09-01,21.333435,69.5818,98264.87
2003-10-01,14.698029,77.555626,98383.68
2003-11-01,10.990753,87.650475,98571.664
2003-12-01,8.135193,86.451164,98543.71
2004-01-01,10.554932,91.62797,98946.164
2004-02-01,11.467621,89.17162,98829.28
2004-03-01,10.461426,81.58405,98688.22
2004-04-01,13.099945,80.22475,98719.6
2004-05-01,19.061005,75.905205,98057.6
2004-06-01,24.918945,62.922886,98223.266
2004-07-01,26.323639,65.195946,98144.2
2004-08-01,25.549255,71.44379,97747.08
2004-09-01,20.483673,69.07678,98032.945
2004-10-01,14.343536,82.28857,98776.08
2004-11-01,6.2361755,80.43655,98583.664
2004-12-01,3.1080017,79.482315,98444.69
2005-01-01,7.505615,87.226906,98750.88
2005-02-01,4.657379,84.65924,98647.64
2005-03-01,12.269714,87.12818,98409.42
2005-04-01,12.936493,65.6699,98077.414
2005-05-01,20.068695,62.95956,98461.05
2005-06-01,23.083282,75.7621,98429.03
2005-07-01,23.556213,80.4698,97895.47
2005-08-01,23.998047,72.88173,97803.57
2005-09-01,20.607239,75.16963,98127.23
2005-10-01,18.2247,91.59456,98503.8
2005-11-01,14.0625305,89.757706,98370.77
2005-12-01,10.142242,91.83145,98631.71
2006-01-01,0.3887329,82.20414,98423.39
2006-02-01,8.018829,89.52424,98345.445
2006-03-01,7.659973,81.93169,98246.59
2006-04-01,14.210693,67.5192,98447.414
2006-05-01,19.059448,68.279434,98439.71
2006-06-01,21.607513,80.81155,98201.125
2006-07-01,25.257965,75.482346,97994.67
2006-08-01,26.108032,66.87998,98119.195
2006-09-01,21.547913,73.90879,98021.03
2006-10-01,13.716217,83.805855,98372.0
2006-11-01,7.249756,84.19527,98812.984
2006-12-01,5.406433,87.67423,98406.42
2007-01-01,5.4642944,80.79419,98560.445
2007-02-01,7.555969,86.05155,98716.984
2007-03-01,8.308777,87.06249,98621.164
2007-04-01,15.760132,67.15517,98460.43
2007-05-01,20.337128,70.48051,98283.53
2007-06-01,23.351257,77.960724,98124.87
2007-07-01,27.687714,56.592274,97954.586
2007-08-01,24.041351,72.64742,97608.32
2007-09-01,20.897308,75.24555,98300.445
2007-10-01,19.640015,89.84272,98595.82
2007-11-01,12.256439,89.830925,98678.97
2007-12-01,3.8215332,85.307076,98501.766
2008-01-01,4.142517,84.10288,98382.21
2008-02-01,9.199188,84.471565,99038.94
2008-03-01,13.9652405,83.55786,98421.3
2008-04-01,11.873505,82.94587,98210.91
2008-05-01,19.62613,70.69551,98223.46
2008-06-01,23.190155,71.597755,97950.88
2008-07-01,26.040405,64.578804,97944.47
2008-08-01,24.504059,78.71571,97777.266
2008-09-01,20.258331,70.85001,98142.75
2008-10-01,15.000641,72.60584,98395.41
2008-11-01,7.7746277,81.388374,98429.87
2008-12-01,3.2545776,85.33345,98317.305
2009-01-01,2.9927063,81.69442,98501.87
2009-02-01,7.772827,87.17159,98800.0
2009-03-01,7.1853027,77.2798,98338.11
2009-04-01,15.31311,73.77082,98155.02
2009-05-01,19.56186,61.707508,98572.11
2009-06-01,25.68686,63.647335,98087.875
2009-07-01,27.734253,63.727688,97930.055
2009-08-01,26.402435,58.75167,98055.14
2009-09-01,21.008057,76.21787,98266.89
2009-10-01,15.574066,59.81584,98702.96
2009-11-01,7.855438,79.21371,98634.12
2009-12-01,6.0122986,87.04955,99287.76
2010-01-01,5.8890686,87.30074,98629.85
2010-02-01,8.524597,89.15237,98687.06
2010-03-01,11.966858,81.56747,98543.42
2010-04-01,15.848114,77.690796,98453.91
2010-05-01,17.028656,69.02537,98185.83
2010-06-01,23.773773,66.923004,97954.086
2010-07-01,26.870972,52.081818,98136.766
2010-08-01,27.722443,63.82162,97924.77
2010-09-01,21.060364,73.791176,98110.016
2010-10-01,16.33664,84.0114,98629.75
2010-11-01,10.427307,83.559525,98210.984
2010-12-01,6.381195,86.49127,98610.18
2011-01-01,5.9777527,86.69644,98609.66
2011-02-01,8.19574,89.373634,98633.23
2011-03-01,12.217773,86.261536,98697.766
2011-04-01,12.2526245,73.630325,98009.484
2011-05-01,15.372253,73.3016,98243.64
2011-06-01,26.53012,52.783054,98168.97
2011-07-01,26.820465,50.869907,97834.26
2011-08-01,27.691376,53.954826,98091.734
2011-09-01,20.125977,72.616776,98047.22
2011-10-01,17.848572,90.46788,98432.766
2011-11-01,11.381653,85.29467,98694.83
2011-12-01,4.8862915,86.22809,98418.39
2012-01-01,6.620514,84.228645,98675.39
2012-02-01,9.599548,88.337715,98676.35
2012-03-01,13.462982,86.197395,98769.75
2012-04-01,11.958801,71.07984,97913.79
2012-05-01,19.096619,70.116104,98266.61
2012-06-01,22.543,82.65731,98365.695
2012-07-01,25.008057,71.65253,98134.67
2012-08-01,26.374725,61.08533,97746.305
2012-09-01,20.638275,70.56156,98290.07
2012-10-01,17.783356,73.33705,98143.76
2012-11-01,9.220978,78.78464,98520.24
2012-12-01,9.381836,90.74858,98653.18
2013-01-01,3.287506,86.83994,98220.03
2013-02-01,7.6593018,86.36474,98764.02
2013-03-01,10.48938,80.8381,98597.99
2013-04-01,14.020081,82.11668,98326.92
2013-05-01,20.78534,65.08364,98303.63
2013-06-01,24.974945,61.33577,97990.914
2013-07-01,28.547302,51.041,97840.6
2013-08-01,27.49945,58.534424,97845.39
2013-09-01,22.03659,69.377525,97888.15
2013-10-01,13.898895,75.21557,98601.37
2013-11-01,9.363342,78.338066,98611.68
2013-12-01,9.107849,91.020546,98716.53
2014-01-01,5.9763794,83.773186,98271.555
2014-02-01,4.091614,77.55434,98527.13
2014-03-01,8.235596,80.408844,98339.12
2014-04-01,13.972656,69.4732,98236.3
2014-05-01,22.104553,61.318657,98346.56
2014-06-01,23.110596,66.52642,98049.97
2014-07-01,26.063599,76.86462,98213.58
2014-08-01,24.35254,77.85824,97759.266
2014-09-01,19.908447,80.77863,98266.33
2014-10-01,15.986145,71.59559,98480.5
2014-11-01,8.34433,80.343124,98479.29
2014-12-01,6.741974,89.582726,98648.984
2015-01-01,11.203461,93.24697,98664.055
2015-02-01,3.5769653,82.920845,98561.4
2015-03-01,7.3833923,79.68967,98686.34
2015-04-01,15.597656,77.27166,98467.65
2015-05-01,18.885193,71.05472,98250.516
2015-06-01,23.8591,60.749954,98164.445
2015-07-01,25.10022,69.2695,98068.914
2015-08-01,25.108643,63.590767,97758.88
2015-09-01,20.313995,81.53747,98093.98
2015-10-01,14.472321,70.824326,98261.16
2015-11-01,9.131592,82.32264,98552.97
2015-12-01,0.5871277,82.74132,98582.37
2016-01-01,4.0228577,87.07768,98723.29
2016-02-01,5.9078674,83.61347,98300.13
2016-03-01,9.145508,76.27005,98370.11
2016-04-01,14.901764,74.17363,98481.375
2016-05-01,19.65335,65.7309,98199.32
2016-06-01,23.70105,69.25364,98011.1
2016-07-01,27.840881,56.154747,98053.28
2016-08-01,23.567566,68.94367,97670.14
2016-09-01,20.376068,77.300446,98150.38
2016-10-01,13.930023,67.928,98294.516
2016-11-01,10.071014,81.35,98569.086
2016-12-01,10.71286,91.39247,98783.23
2017-01-01,3.3605042,88.630325,98516.36
2017-02-01,4.95224,86.62568,98277.29
2017-03-01,6.1109924,81.65795,98115.16
2017-04-01,12.1536255,78.436516,98101.22
2017-05-01,16.04132,74.61506,98227.95
2017-06-01,23.045593,72.09294,98119.38
2017-07-01,26.16388,73.28146,98108.65
2017-08-01,28.223389,46.926632,97791.0
2017-09-01,21.817078,68.56298,97826.42
2017-10-01,12.941101,72.265434,98119.31
2017-11-01,9.559784,88.745125,98414.445
2017-12-01,5.2467957,81.803055,98794.84
2018-01-01,0.7283325,82.40622,98966.6
2018-02-01,7.4955444,84.12923,98996.01
2018-03-01,12.82843,78.10286,98419.47
2018-04-01,11.6718445,78.70196,98369.0
2018-05-01,18.721832,67.00667,98397.76
2018-06-01,25.336151,64.10114,98185.336
2018-07-01,27.592865,64.839905,98266.78
2018-08-01,27.723755,62.888184,98153.9
2018-09-01,21.109924,64.65444,98151.57
2018-10-01,15.579926,83.46491,98789.42
2018-11-01,10.120422,82.480064,98446.984
2018-12-01,10.00296,91.14349,99073.95
