time,tas,hurs,ps
2000-01-01,-3.558319,85.2155,99940.82
2000-02-01,-1.0205994,87.02078,99825.52
2000-03-01,1.2648926,79.1155,99155.11
2000-04-01,7.2253113,84.99693,99387.875
2000-05-01,13.558685,74.54626,99486.484
2000-06-01,17.128021,76.48442,99239.1
2000-07-01,24.021881,71.02762,99226.46
2000-08-01,20.805634,61.852703,98979.31
2000-09-01,18.156677,62.653957,99207.805
2000-10-01,12.080383,76.8004,99375.66
2000-11-01,1.3370361,86.19907,99583.24
2000-12-01,-2.474823,76.97315,99917.05
2001-01-01,-8.64682,84.02939,99401.79
2001-02-01,-0.9421387,82.901436,99567.195
2001-03-01,1.1367798,88.62092,99243.08
2001-04-01,5.2601013,80.45085,99622.96
2001-05-01,11.817169,73.38982,99800.52
2001-06-01,18.669342,75.90458,98951.086
2001-07-01,21.813263,74.862076,98846.555
2001-08-01,22.61148,74.021515,98870.17
2001-09-01,17.1008,73.119286,99567.695
2001-10-01,8.775818,86.016975,98897.43
2001-11-01,1.8699951,88.89225,99017.87
2001-12-01,-4.442688,88.8741,99404.8
2002-01-01,-7.153656,91.94591,99665.55
2002-02-01,-0.36767578,82.50307,99274.375
2002-03-01,-0.3053589,86.70646,99800.97
2002-04-01,5.6602173,78.48376,99567.76
2002-05-01,11.97995,73.498985,99631.25
2002-06-01,17.537445,65.47608,99317.484
2002-07-01,22.826294,70.51277,98954.3
2002-08-01,22.526703,73.20123,99125.43
2002-09-01,18.006592,77.1875,99075.01
2002-10-01,11.274261,69.827805,99703.22
2002-11-01,4.015991,80.061516,99531.99
2002-12-01,-1.1538086,84.4452,99641.77
2003-01-01,1.9404602,86.93163,99869.99
2003-02-01,-1.0786133,76.27459,99856.766
2003-03-01,0.3973999,83.22837,99694.09
2003-04-01,9.693298,83.10821,99478.22
2003-05-01,15.340424,70.115715,99530.64
2003-06-01,18.15683,73.06401,99432.72
2003-07-01,24.256073,74.212425,98986.38
2003-08-01,22.539032,64.93454,99185.09
2003-09-01,18.737518,66.375694,99259.664
2003-10-01,12.959839,56.347286,99415.016
2003-11-01,6.689453,83.73733,99388.53
2003-12-01,-1.6001282,86.81727,99488.516
2004-01-01,0.117370605,89.50844,99798.3
2004-02-01,4.17688,91.38975,99840.39
2004-03-01,5.053406,77.29239,99839.45
2004-04-01,9.353088,80.42753,99715.8
2004-05-01,13.835815,67.03415,99191.75
2004-06-01,19.01532,74.73057,99091.92
2004-07-01,23.057495,62.22977,99343.02
2004-08-01,21.920502,75.08675,98878.92
2004-09-01,19.411407,61.618755,99266.28
2004-10-01,14.586212,75.25565,100558.85
2004-11-01,2.6642761,86.74621,99561.234
2004-12-01,-3.5193481,86.74893,99080.77
2005-01-01,-4.477051,89.141556,99663.414
2005-02-01,-8.879242,89.4676,100058.766
2005-03-01,-1.0932007,88.63998,99656.73
2005-04-01,4.654785,84.59342,99149.086
2005-05-01,12.473389,83.66166,99465.055
2005-06-01,20.460632,74.28032,99335.91
2005-07-01,21.527832,73.93392,98977.33
2005-08-01,20.024536,77.70941,98910.05
2005-09-01,18.292572,64.471664,99425.82
2005-10-01,14.454224,84.87571,99518.94
2005-11-01,7.1716614,89.13342,99147.625
2005-12-01,-0.54922485,91.03658,99683.47
2006-01-01,-5.9691772,86.80161,99597.51
2006-02-01,-3.306244,83.551414,99597.516
2006-03-01,-0.80929565,85.740776,99562.47
2006-04-01,8.898315,77.51909,99859.33
2006-05-01,14.053009,61.96629,99672.21
2006-06-01,17.241028,71.15199,99106.43
2006-07-01,22.804352,72.55642,98918.4
2006-08-01,22.21872,73.39819,99164.66
2006-09-01,18.315887,70.00558,99259.86
2006-10-01,11.714447,70.558655,99561.555
2006-11-01,4.568756,76.97521,99806.96
2006-12-01,-2.2979126,91.943054,99456.7
2007-01-01,-2.683014,76.400955,99436.914
2007-02-01,-2.7740479,82.649704,99924.33
2007-03-01,3.634613,78.89707,99869.64
2007-04-01,9.821808,74.25139,99152.02
2007-05-01,12.840973,74.81074,99472.914
2007-06-01,18.320374,83.64501,99062.68
2007-07-01,22.147217,73.01148,99029.81
2007-08-01,21.56372,63.588593,98827.37
2007-09-01,18.275574,64.969345,99385.84
2007-10-01,15.3298645,80.71322,99622.18
2007-11-01,6.185852,90.314095,99846.96
2007-12-01,-1.9073792,85.57548,99590.58
2008-01-01,-9.429565,88.98732,99683.414
2008-02-01,0.8569336,82.444855,99703.164
2008-03-01,4.7139893,86.61849,99392.22
2008-04-01,3.0689697,76.6428,99721.41
2008-05-01,13.188873,74.20955,99293.766
2008-06-01,16.913483,78.61248,99071.17
2008-07-01,25.534668,57.159214,98967.02
2008-08-01,20.792175,80.84223,98841.81
2008-09-01,19.228333,64.184975,99283.734
2008-10-01,12.720062,57.6068,99506.84
2008-11-01,3.9715881,75.10741,99538.625
2008-12-01,-3.0348816,91.31625,99244.2
2009-01-01,-5.9851685,89.20148,99501.56
2009-02-01,-1.9523621,82.55306,99883.51
2009-03-01,-0.91864014,75.3164,99663.555
2009-04-01,7.1551514,89.96167,99073.21
2009-05-01,14.269623,75.943245,99769.03
2009-06-01,18.911957,73.99407,99083.32
2009-07-01,23.43805,73.454445,98929.49
2009-08-01,23.412598,62.371826,99315.65
2009-09-01,18.629791,59.59243,99399.48
2009-10-01,12.356781,67.62982,99798.17
2009-11-01,3.8594055,82.12508,99701.35
2009-12-01,-0.63061523,82.580536,100434.234
2010-01-01,-0.51293945,86.67795,99595.695
2010-02-01,0.8351135,81.874565,99694.17
2010-03-01,7.21994,86.13847,99522.83
2010-04-01,10.069061,77.5046,99336.836
2010-05-01,14.061157,65.57599,99492.02
2010-06-01,19.797607,73.30515,98892.77
2010-07-01,22.55783,61.495815,99293.37
2010-08-01,22.500244,82.389206,98898.586
2010-09-01,16.896393,74.75856,99198.43
2010-10-01,12.893585,84.24449,100159.95
2010-11-01,3.1397095,84.84826,98997.84
2010-12-01,-3.1297913,87.18917,99559.555
2011-01-01,-4.0061646,87.363,99860.58
2011-02-01,-2.7528076,84.422165,99867.445
2011-03-01,0.121795654,87.64718,99759.45
2011-04-01,5.496704,82.143456,98981.57
2011-05-01,9.835571,75.08897,99397.26
2011-06-01,19.292328,75.401,99259.33
2011-07-01,21.58191,70.92494,98867.336
2011-08-01,23.091675,75.68661,99071.555
2011-09-01,18.276611,65.8235,99250.54
2011-10-01,10.695007,77.40311,99481.59
2011-11-01,5.4834595,86.6859,99654.734
2011-12-01,-0.8983154,78.28787,99522.8
2012-01-01,-3.1347656,84.56931,99420.305
2012-02-01,-2.6912842,81.77146,99797.48
2012-03-01,2.1277466,88.90861,99795.72
2012-04-01,5.008423,86.259476,99258.67
2012-05-01,10.149841,85.949036,99424.96
2012-06-01,18.936249,74.67388,99428.77
2012-07-01,22.941742,68.32665,99160.83
2012-08-01,23.091583,67.81513,98756.234
2012-09-01,17.147064,72.17504,99666.33
2012-10-01,13.628113,78.97774,99162.914
2012-11-01,3.419159,84.88343,99352.66
2012-12-01,0.3187561,90.303825,99693.35
2013-01-01,-3.2860413,82.48535,99325.51
2013-02-01,-0.24813843,82.21867,99818.32
2013-03-01,2.8912659,88.33155,99413.94
2013-04-01,3.9932556,85.312416,99715.266
2013-05-01,13.357269,79.28466,99181.71
2013-06-01,17.908386,84.048294,99056.51
2013-07-01,21.30838,82.84487,98872.26
2013-08-01,20.95523,79.21751,98990.93
2013-09-01,18.365143,79.44899,99231.27
2013-10-01,10.561127,71.32625,99795.37
2013-11-01,2.2314758,83.902336,99777.16
2013-12-01,1.3291016,88.66005,99624.71
2014-01-01,-2.6358643,86.890526,99242.41
2014-02-01,-6.368469,76.21144,99930.766
2014-03-01,-1.638092,85.105644,99667.65
2014-04-01,5.880615,89.63755,99559.41
2014-05-01,13.892639,86.565254,99202.06
2014-06-01,17.545166,79.245575,99214.13
2014-07-01,21.991669,81.38514,99229.31
2014-08-01,21.127075,71.03058,98744.41
2014-09-01,17.236206,74.355995,99710.62
2014-10-01,12.17688,82.115234,99602.98
2014-11-01,4.7605896,85.22297,99167.74
2014-12-01,-4.0949097,87.750824,99629.24
2015-01-01,-3.7905884,86.651505,99995.766
2015-02-01,-9.545044,81.32351,99809.79
2015-03-01,-2.3175354,81.782036,99964.43
2015-04-01,5.487274,89.57926,99496.29
2015-05-01,12.870972,75.5122,99200.016
2015-06-01,18.567352,63.45254,99122.984
2015-07-01,22.130554,73.74037,99200.71
2015-08-01,21.473663,67.74319,98830.93
2015-09-01,17.617462,71.27935,99482.98
2015-10-01,11.469238,72.535515,99168.1
2015-11-01,2.4128113,85.577194,99813.75
2015-12-01,-7.633362,88.38848,99795.97
2016-01-01,-6.5745544,87.45443,99858.51
2016-02-01,-0.7930298,89.56982,99165.016
2016-03-01,0.81430054,80.73149,99798.48
2016-04-01,6.9557495,87.43193,99428.3
2016-05-01,12.358154,81.77114,99263.03
2016-06-01,16.514282,85.21048,98926.016
2016-07-01,20.95398,81.18236,99030.695
2016-08-01,20.20633,66.30609,98847.25
2016-09-01,18.034698,64.27037,99293.33
2016-10-01,9.8172,66.171165,99460.664
2016-11-01,5.62146,86.44837,99702.836
2016-12-01,0.020629883,82.05947,99779.04
2017-01-01,-7.0575867,86.71315,99804.46
2017-02-01,-3.6361694,75.935036,99559.234
2017-03-01,-1.468689,78.74769,99511.266
2017-04-01,3.2057495,83.93266,99345.92
2017-05-01,10.609009,81.1222,99339.93
2017-06-01,17.018738,83.04168,99180.48
2017-07-01,21.159424,79.670815,99074.82
2017-08-01,21.70398,76.11467,98835.5
2017-09-01,16.36905,78.97844,98821.945
2017-10-01,8.791809,87.08598,99120.05
2017-11-01,2.7645264,87.70816,99362.8
2017-12-01,-3.3336487,77.96599,99686.31
2018-01-01,-11.148376,83.7722,100100.54
2018-02-01,-0.34677124,81.74769,99836.086
2018-03-01,2.387085,91.62134,99486.695
2018-04-01,4.950012,81.68204,99212.05
2018-05-01,12.026489,78.65024,99469.28
2018-06-01,19.44284,71.382645,99058.11
2018-07-01,24.119202,73.5558,99107.82
2018-08-01,22.64853,79.99633,99143.45
2018-09-01,17.132782,72.29979,99212.47
2018-10-01,13.697479,72.45314,100552.586
2018-11-01,5.127075,76.939926,99224.695
2018-12-01,3.9537048,85.59181,100007.836
2019-01-01,-2.309906,86.69405,99640.75
2019-02-01,-4.267975,80.68122,99368.08
2019-03-01,3.5039673,90.71996,99023.47
2019-04-01,7.463562,82.99333,99237.61
2019-05-01,14.878052,64.452324,99445.34
2019-06-01,20.536407,69.144455,98921.89
