time,tas,hurs,ps
2000-01-01,11.323944,85.84618,96044.27
2000-02-01,9.913147,88.56749,95869.12
2000-03-01,11.451782,80.60392,95748.086
2000-04-01,11.740204,74.36735,96079.266
2000-05-01,17.811676,48.385906,95796.79
2000-06-01,20.32489,52.476067,95684.664
2000-07-01,23.802612,52.886875,95702.0
2000-08-01,24.057129,53.561256,95333.414
2000-09-01,22.912537,52.164013,95577.03
2000-10-01,18.429901,50.869255,95734.13
2000-11-01,12.741028,35.84296,96231.07
2000-12-01,10.737976,70.51205,96127.26
2001-01-01,8.980499,87.93482,95987.82
2001-02-01,9.636719,82.01024,96142.4
2001-03-01,9.252502,63.439167,96093.57
2001-04-01,9.991211,88.90351,95927.76
2001-05-01,14.05307,77.87144,96014.08
2001-06-01,20.335083,50.48394,95633.41
2001-07-01,24.112427,45.412575,95539.5
2001-08-01,23.644043,55.65493,95522.56
2001-09-01,23.695282,43.91032,95653.11
2001-10-01,20.924438,38.639874,95720.8
2001-11-01,12.493378,85.299614,95780.945
2001-12-01,6.0146484,81.8102,95797.17
2002-01-01,9.752869,77.492744,96191.89
2002-02-01,10.102051,50.847363,96131.1
2002-03-01,11.716461,68.434975,96134.27
2002-04-01,12.129486,81.99025,95838.125
2002-05-01,15.649597,64.41667,95777.766
2002-06-01,20.250793,56.641968,95585.336
2002-07-01,21.655945,52.611134,95588.82
2002-08-01,25.17096,35.65507,95400.71
2002-09-01,26.715942,30.602957,95313.57
2002-10-01,20.852325,29.495956,95977.16
2002-11-01,16.95697,50.041885,96121.695
2002-12-01,13.391632,54.07876,96480.91
2003-01-01,10.4600525,70.12345,96299.75
2003-02-01,14.195526,52.13055,96302.21
2003-03-01,14.116791,70.84583,96061.336
2003-04-01,12.051605,75.03651,95842.664
2003-05-01,17.049255,51.23677,95727.23
2003-06-01,21.212433,43.620823,95656.03
2003-07-01,24.930328,48.775692,95435.08
2003-08-01,25.492828,51.17879,95532.945
2003-09-01,24.917084,55.754128,95294.664
2003-10-01,20.161255,44.297733,95726.22
2003-11-01,11.91095,79.206184,95987.234
2003-12-01,11.217529,64.46763,96129.53
2004-01-01,8.016022,89.68411,95965.67
2004-02-01,9.185913,86.22072,96111.664
2004-03-01,11.245789,79.30857,96248.47
2004-04-01,14.878357,53.09545,96072.75
2004-05-01,16.922699,56.688244,95736.08
2004-06-01,21.236877,50.798973,95481.35
2004-07-01,24.882202,45.155796,95536.77
2004-08-01,24.77301,45.01398,95435.14
2004-09-01,23.283508,54.35504,95302.2
2004-10-01,22.870941,25.65956,96151.195
2004-11-01,11.407837,70.65818,96096.43
2004-12-01,13.7994995,35.443302,96380.64
2005-01-01,8.449738,84.76055,96199.28
2005-02-01,9.002594,84.540115,95796.67
2005-03-01,9.613647,69.92589,96085.89
2005-04-01,11.242981,78.02463,95908.32
2005-05-01,15.819,50.663715,95914.91
2005-06-01,23.51233,34.143776,95540.65
2005-07-01,21.915527,52.19656,95497.25
2005-08-01,22.704437,54.808792,95428.09
2005-09-01,23.840027,40.942627,95547.5
2005-10-01,16.498627,40.43957,95749.25
2005-11-01,12.373901,59.93465,95934.42
2005-12-01,5.3844604,76.57665,96366.914
2006-01-01,12.3298645,47.74612,95968.11
2006-02-01,9.778015,75.25474,95918.31
2006-03-01,10.388947,83.223404,95807.94
2006-04-01,12.326569,64.943115,96119.02
2006-05-01,20.180756,38.378277,95971.16
2006-06-01,19.954926,52.667183,95542.1
2006-07-01,22.845184,46.94276,95496.5
2006-08-01,20.481506,74.87028,95643.72
2006-09-01,24.335907,41.864223,95471.37
2006-10-01,22.347198,33.181587,95920.65
2006-11-01,16.353363,40.700764,96321.695
2006-12-01,7.5491333,66.46733,96143.61
2007-01-01,8.980347,54.444122,96504.26
2007-02-01,9.435944,77.17637,96022.1
2007-03-01,12.679474,82.802795,96179.83
