time,tas,hurs,ps
2000-01-01,-0.97146606,70.7092,101863.0
2000-02-01,-0.8727112,72.71614,101410.38
2000-03-01,2.7799683,77.60178,100832.52
2000-04-01,8.585144,82.845406,101521.4
2000-05-01,12.257141,76.87207,101474.87
2000-06-01,17.526001,72.84188,100896.484
2000-07-01,22.765594,80.96455,101167.945
2000-08-01,21.085907,62.946404,100492.33
2000-09-01,18.229736,71.52768,100957.15
2000-10-01,11.769226,79.57377,100948.25
2000-11-01,7.14151,86.87541,101502.18
2000-12-01,-0.6835327,76.68598,101855.66
2001-01-01,-1.0680847,78.196175,101059.11
2001-02-01,2.2062683,72.88893,101275.055
2001-03-01,6.502594,82.55816,101428.12
2001-04-01,7.1496887,70.977135,101062.91
2001-05-01,12.823425,79.00262,101360.555
2001-06-01,18.947815,73.791626,100820.86
2001-07-01,21.671173,70.68391,100566.38
2001-08-01,22.983032,83.75396,100696.945
2001-09-01,16.774445,69.37299,101359.04
2001-10-01,12.33902,84.817795,100676.87
2001-11-01,7.319214,87.858315,100881.38
2001-12-01,-0.84072876,80.4538,101071.68
2002-01-01,-1.5932312,72.66244,101431.234
2002-02-01,2.048767,71.499535,101109.88
2002-03-01,2.1699219,74.001625,101453.47
2002-04-01,7.8525696,64.980354,101084.9
2002-05-01,13.736725,75.24554,101052.07
2002-06-01,17.072052,73.09061,101043.17
2002-07-01,20.79242,75.88334,100585.16
2002-08-01,21.758087,70.160675,100769.16
2002-09-01,18.988403,83.48804,100936.61
2002-10-01,9.807617,79.70179,101275.65
2002-11-01,6.9768677,85.18809,101356.15
2002-12-01,0.8140869,73.81607,101249.21
2003-01-01,2.3522034,76.99614,101915.29
2003-02-01,0.47747803,69.270004,101416.75
2003-03-01,1.3627319,79.565834,101479.94
2003-04-01,9.222168,82.355644,101420.18
2003-05-01,14.223572,68.221245,101485.32
2003-06-01,17.706604,78.410446,101262.28
2003-07-01,22.860779,80.746155,100869.94
2003-08-01,22.854614,68.107155,101048.96
2003-09-01,18.333374,71.71462,101091.12
2003-10-01,12.503601,68.59126,101103.05
2003-11-01,7.4292297,74.12594,101277.68
2003-12-01,1.0628357,80.103,101267.24
2004-01-01,3.003662,78.55711,101759.586
2004-02-01,5.0327454,75.515274,101805.06
2004-03-01,6.3726196,79.17793,101563.414
2004-04-01,10.255371,73.07042,101680.09
2004-05-01,14.252106,62.002426,100733.2
2004-06-01,20.552917,67.785416,100900.83
2004-07-01,22.578674,69.086754,101128.09
2004-08-01,23.496796,67.776634,100685.21
2004-09-01,17.895264,75.22657,100982.9
2004-10-01,12.318115,78.78687,102198.81
2004-11-01,5.5956726,85.244095,101305.734
2004-12-01,-1.5773621,75.30834,100982.24
2005-01-01,1.5126953,75.440254,101471.266
2005-02-01,-3.620758,66.36471,101658.77
2005-03-01,4.023102,84.53331,101624.41
2005-04-01,9.49057,77.47569,100756.28
2005-05-01,13.5448,72.48601,101184.75
2005-06-01,19.502625,77.248215,101464.1
2005-07-01,21.783234,70.005974,100670.44
2005-08-01,20.631989,77.4353,100638.81
2005-09-01,17.536194,66.286865,101154.914
2005-10-01,18.034546,71.63422,101641.51
2005-11-01,11.807007,73.79072,101095.7
2005-12-01,3.9856567,84.538895,101649.13
2006-01-01,-4.7042847,76.65346,100979.47
2006-02-01,1.3456421,80.17022,101322.32
2006-03-01,2.842865,71.8169,101279.93
2006-04-01,9.69223,86.09802,101643.95
2006-05-01,12.658722,69.14858,101342.56
2006-06-01,16.79422,75.18187,101108.66
2006-07-01,21.157013,73.11366,100812.07
2006-08-01,20.44629,73.52372,100894.55
2006-09-01,18.805786,74.20784,101129.414
2006-10-01,13.050049,83.63593,101291.23
2006-11-01,6.3552856,81.63125,101547.664
2006-12-01,0.26849365,80.15053,101431.9
2007-01-01,0.83914185,75.28349,101326.17
2007-02-01,0.22415161,78.061165,101661.26
2007-03-01,5.1359863,77.7629,101710.4
2007-04-01,10.344543,85.289154,101210.57
2007-05-01,13.93631,72.1868,101216.89
2007-06-01,18.035614,73.44374,100848.695
2007-07-01,21.71997,65.752304,100748.8
2007-08-01,20.694885,62.180134,100283.87
2007-09-01,19.413757,56.967552,101085.586
2007-10-01,15.036316,76.62101,101761.33
2007-11-01,5.1233826,81.19541,101738.34
2007-12-01,2.2809448,80.68197,101077.29
2008-01-01,-3.8849182,77.27602,101034.65
2008-02-01,1.9343567,74.885895,101695.08
2008-03-01,6.398987,84.066,101536.54
2008-04-01,6.101288,74.53635,101232.47
2008-05-01,12.967255,78.93858,101054.22
2008-06-01,15.549866,82.15215,100885.5
2008-07-01,21.099915,79.4788,100849.78
2008-08-01,21.13733,78.08077,100645.484
2008-09-01,17.506683,79.37009,101221.45
2008-10-01,11.949829,70.652084,101070.055
2008-11-01,4.9819336,79.8851,100954.305
2008-12-01,-0.68429565,77.33596,100978.836
2009-01-01,-0.18276978,70.41708,101178.72
2009-02-01,1.0043335,74.97502,101814.93
2009-03-01,1.7674255,67.23949,101231.75
2009-04-01,8.376892,77.60739,101242.62
2009-05-01,14.000214,85.270546,101468.305
2009-06-01,18.677795,85.27558,100871.66
2009-07-01,22.862335,83.09752,100818.695
2009-08-01,21.609802,75.96518,101025.555
2009-09-01,18.818115,76.79841,101305.1
2009-10-01,11.816193,68.01504,101493.57
2009-11-01,4.929291,81.872284,101146.47
2009-12-01,1.735199,73.37477,101956.086
2010-01-01,1.8452148,86.32153,101419.82
2010-02-01,1.0976868,79.49101,101464.25
2010-03-01,5.5368958,81.1233,101421.016
2010-04-01,11.733917,75.352455,101193.805
2010-05-01,13.048187,72.8242,101005.86
2010-06-01,18.330292,79.007256,100855.6
2010-07-01,21.962128,68.2784,101005.42
2010-08-01,22.010254,71.74989,100692.83
2010-09-01,17.649353,77.98048,101137.78
2010-10-01,12.420868,84.18987,101780.664
2010-11-01,5.7641907,80.71973,100803.625
2010-12-01,0.69122314,66.249916,101317.15
2011-01-01,-1.3165894,68.92945,101266.55
2011-02-01,0.026123047,69.58242,101743.54
2011-03-01,4.341614,78.90708,101819.695
2011-04-01,7.9884033,73.00303,100555.875
2011-05-01,12.174225,75.157715,101032.98
2011-06-01,18.949219,75.03741,101105.695
2011-07-01,21.199738,69.88696,100614.17
2011-08-01,21.972229,88.610504,100948.07
2011-09-01,18.849884,74.6654,101017.24
2011-10-01,13.580872,84.73397,101443.72
2011-11-01,6.881897,80.04849,101468.445
2011-12-01,0.6562805,77.228264,101011.42
2012-01-01,0.3788452,77.59603,101479.67
2012-02-01,-0.020355225,80.00382,101536.47
2012-03-01,4.539398,81.447586,101739.51
2012-04-01,6.3717957,82.71227,100853.766
2012-05-01,11.928589,82.160576,101137.98
2012-06-01,18.738647,80.573875,101334.03
2012-07-01,22.084534,77.45027,101084.45
2012-08-01,19.54187,82.05183,100616.46
2012-09-01,17.552704,87.84648,101422.14
2012-10-01,13.0564575,83.67374,101137.68
2012-11-01,5.108368,85.21037,101121.016
2012-12-01,2.5021973,85.37887,101716.945
2013-01-01,-0.462677,75.94128,100845.71
2013-02-01,1.1108398,79.38069,101634.77
2013-03-01,4.6936035,78.13288,101282.555
2013-04-01,6.4847717,71.91135,101325.09
2013-05-01,14.443573,78.528656,101311.87
2013-06-01,17.925385,75.541466,100600.5
2013-07-01,21.619324,74.29121,100552.82
2013-08-01,21.515076,74.94116,100869.31
2013-09-01,18.613617,68.5782,101036.164
2013-10-01,11.908813,77.99008,101597.586
2013-11-01,5.3322754,81.62913,101442.58
2013-12-01,2.9652405,81.03194,101587.55
2014-01-01,-0.90579224,73.79725,101223.055
2014-02-01,-2.1180725,72.825005,101276.88
2014-03-01,2.0640564,76.96028,101412.14
2014-04-01,8.267853,85.950935,101390.38
2014-05-01,13.983795,86.36331,100994.84
2014-06-01,17.221893,74.62744,101108.42
2014-07-01,21.049255,83.08667,101014.805
2014-08-01,20.695435,75.33835,100454.78
2014-09-01,18.7052,81.108284,101434.3
2014-10-01,12.901978,79.85792,101289.66
2014-11-01,6.707245,82.63652,101003.375
2014-12-01,2.7580566,84.718575,101484.04
2015-01-01,2.2620544,84.84738,101748.26
2015-02-01,-1.6174927,74.5918,101468.94
2015-03-01,1.2628784,72.72353,101463.68
2015-04-01,7.991333,80.007675,101449.97
2015-05-01,12.995361,74.81246,101051.586
2015-06-01,16.888916,77.79857,100799.4
2015-07-01,20.250336,82.89554,101108.766
2015-08-01,19.812927,79.09224,100342.266
2015-09-01,16.860046,75.64411,101214.96
2015-10-01,12.806946,73.397644,100979.93
2015-11-01,5.2595215,82.43112,101463.125
2015-12-01,-2.681244,77.43111,101262.69
2016-01-01,-1.008728,72.5346,101671.51
2016-02-01,3.893036,82.810104,100905.07
2016-03-01,4.8812256,76.113174,101254.9
2016-04-01,10.434174,76.39369,101198.484
2016-05-01,13.623474,75.69087,100950.945
2016-06-01,20.498627,71.33337,100958.65
2016-07-01,22.40866,69.43888,100683.164
2016-08-01,20.548126,65.58136,100331.164
2016-09-01,17.23526,74.75549,101142.836
2016-10-01,10.228668,78.80177,100861.35
2016-11-01,7.371155,85.20738,101311.625
2016-12-01,3.207611,79.73651,101703.836
2017-01-01,0.36108398,74.05227,101373.32
2017-02-01,-1.912384,72.14779,101185.67
2017-03-01,0.64923096,71.9336,101012.04
2017-04-01,6.5600586,80.071434,100910.375
2017-05-01,13.847687,67.53684,101063.25
2017-06-01,17.649475,86.75237,101004.37
2017-07-01,22.857056,69.17463,100880.2
2017-08-01,21.4982,66.30346,100489.305
2017-09-01,18.473389,63.554813,100732.47
2017-10-01,11.899567,85.08487,100741.57
2017-11-01,7.7053223,84.90146,101262.484
2017-12-01,0.88723755,83.0302,101541.35
2018-01-01,-4.072571,80.57747,101783.93
2018-02-01,1.1472473,75.43921,101708.875
2018-03-01,5.789032,80.82977,101304.75
2018-04-01,7.9670105,78.42878,101365.95
2018-05-01,13.88559,73.439735,101315.234
2018-06-01,20.742981,67.731895,100841.59
2018-07-01,24.421997,67.515755,100817.83
2018-08-01,22.923035,68.03899,100931.93
2018-09-01,18.844788,72.89347,101030.29
2018-10-01,13.071289,68.2018,102164.13
2018-11-01,5.350403,76.558266,101042.87
2018-12-01,4.061981,80.30373,102088.945
2019-01-01,2.842102,81.73941,101413.99
2019-02-01,-0.2859497,71.50499,101279.836
2019-03-01,4.9252625,84.875244,100817.73
2019-04-01,9.508545,67.37513,101106.29
2019-05-01,15.388367,60.056694,101293.3
2019-06-01,19.587677,76.15283,100799.48
2019-07-01,22.938751,80.951324,101078.81
2019-08-01,22.971191,72.64728,100769.24
2019-09-01,18.487732,70.06462,100943.08
2019-10-01,12.769714,69.70142,101304.59
2019-11-01,8.812439,81.29367,101330.484
2019-12-01,-1.0384827,70.059006,101015.695
2020-01-01,2.0531616,77.93161,101231.055
2020-02-01,1.7802429,81.2123,101394.39
2020-03-01,5.333832,78.37362,101555.164
2020-04-01,10.383575,79.5942,101348.4
2020-05-01,13.950256,73.80462,101239.95
2020-06-01,17.513733,79.16317,100785.6
2020-07-01,24.386993,77.93167,100826.54
2020-08-01,24.74234,58.425755,100914.54
2020-09-01,18.207062,64.346664,100998.13
2020-10-01,13.545868,70.161,100979.77
2020-11-01,7.057129,84.93495,101439.78
2020-12-01,5.0290527,81.501175,101628.21
