time,tas,hurs,ps
2000-01-01,10.276123,89.98693,100777.26
2000-02-01,10.913513,89.21631,100619.64
2000-03-01,11.856812,85.883125,100620.21
2000-04-01,11.28006,85.8439,101001.734
2000-05-01,14.750153,72.42317,100826.57
2000-06-01,17.060303,71.98179,100543.78
2000-07-01,18.595306,77.07353,100390.45
2000-08-01,19.023468,77.60126,100205.65
2000-09-01,17.215271,76.98342,100389.38
2000-10-01,16.248657,65.97451,100758.06
2000-11-01,13.442352,55.17725,101327.266
2000-12-01,9.988861,82.53118,101066.22
2001-01-01,10.254547,89.44119,100675.945
2001-02-01,10.620544,88.94462,100972.94
2001-03-01,9.555298,77.806305,101187.81
2001-04-01,11.195068,84.29088,100785.03
2001-05-01,14.314758,78.57207,100877.91
2001-06-01,16.563446,71.23317,100598.64
2001-07-01,18.955078,75.020355,100365.13
2001-08-01,18.789886,76.81068,100247.7
2001-09-01,17.761719,72.324356,100557.125
2001-10-01,17.050507,79.84677,100602.38
2001-11-01,13.962433,84.070724,100662.234
2001-12-01,7.331482,86.69079,100757.04
2002-01-01,7.3575134,87.11847,101235.02
2002-02-01,8.765198,80.70875,101281.484
2002-03-01,9.813263,86.05649,100961.81
2002-04-01,12.440277,86.620766,100749.914
2002-05-01,14.147949,80.22548,100614.43
2002-06-01,16.54184,80.37905,100476.33
2002-07-01,17.33847,75.19458,100475.27
2002-08-01,17.061249,75.524635,100345.3
2002-09-01,17.348694,71.3765,100168.51
2002-10-01,14.283081,75.64626,101077.16
2002-11-01,13.89743,89.25222,101076.32
2002-12-01,11.762451,89.80721,101342.8
2003-01-01,9.611877,85.282646,101170.586
2003-02-01,11.207062,89.68288,101256.945
2003-03-01,13.034973,80.33181,101079.88
2003-04-01,12.328491,76.544586,100774.7
2003-05-01,15.56781,63.65123,100763.45
2003-06-01,16.5914,71.90424,100580.04
2003-07-01,17.845856,76.870186,100168.195
2003-08-01,19.740387,75.867424,100250.234
2003-09-01,19.152893,71.39869,100173.54
2003-10-01,15.759979,74.05004,100755.17
2003-11-01,12.307312,89.23887,100832.27
2003-12-01,10.220154,88.57958,101267.77
2004-01-01,8.213165,86.04622,100630.734
2004-02-01,9.5199585,87.694756,100992.555
2004-03-01,10.429016,81.48794,101110.96
2004-04-01,11.829468,78.43755,101110.516
2004-05-01,14.796173,65.23945,100740.414
2004-06-01,17.184265,64.69301,100615.54
2004-07-01,16.971924,78.098854,100413.42
2004-08-01,17.704712,77.46598,100257.71
2004-09-01,16.562805,75.80887,100204.445
2004-10-01,17.006195,69.0476,101106.88
2004-11-01,11.336975,80.43251,100997.234
2004-12-01,9.62027,79.97963,101390.9
2005-01-01,8.3515625,82.09066,101080.03
2005-02-01,9.407196,86.97288,100630.445
2005-03-01,9.593964,81.55425,101216.586
2005-04-01,11.215393,83.673584,100771.98
2005-05-01,13.396698,72.61505,101079.24
2005-06-01,16.69522,72.173134,100520.24
2005-07-01,17.057007,79.48692,100259.61
2005-08-01,18.559998,75.83866,100240.27
2005-09-01,18.44867,71.130844,100464.98
2005-10-01,12.822449,74.32119,100878.61
2005-11-01,10.834564,86.31233,101044.22
2005-12-01,6.843231,82.517075,101363.94
2006-01-01,9.08078,85.260544,100967.51
2006-02-01,9.066254,87.30137,100773.38
2006-03-01,10.6467285,88.91076,100693.984
2006-04-01,11.065277,73.25413,101248.08
2006-05-01,14.643494,79.56502,100934.75
2006-06-01,17.27481,75.2127,100476.25
2006-07-01,18.065948,73.21164,100361.06
2006-08-01,17.553894,75.9327,100453.32
2006-09-01,19.237427,63.102943,100313.01
2006-10-01,16.72879,71.983734,100845.664
2006-11-01,14.212677,71.96238,101296.27
2006-12-01,9.028839,79.54581,101230.52
2007-01-01,9.01889,80.38798,101440.98
2007-02-01,10.742157,84.66627,100958.164
2007-03-01,11.762482,86.340614,100993.94
2007-04-01,12.125458,71.865524,101064.43
2007-05-01,14.139709,75.4941,100756.84
2007-06-01,16.460815,65.48306,100560.17
2007-07-01,17.989777,76.04847,100384.8
2007-08-01,19.772095,68.07723,100007.95
2007-09-01,17.270203,75.03542,100376.45
2007-10-01,14.889038,68.5267,100885.48
2007-11-01,12.082031,86.64985,101124.984
2007-12-01,8.566711,88.04479,101110.92
2008-01-01,8.389679,88.47562,101161.09
2008-02-01,9.605438,87.029915,100950.07
2008-03-01,9.168396,86.76927,101022.33
2008-04-01,10.181732,84.92678,100792.516
2008-05-01,14.297943,76.39398,100651.11
2008-06-01,15.885834,74.669,100523.36
2008-07-01,16.85736,74.09645,100358.71
2008-08-01,18.29831,70.828636,100065.89
2008-09-01,17.388702,73.09273,100486.016
2008-10-01,15.025085,83.24607,100763.26
2008-11-01,12.572723,85.688736,100987.28
2008-12-01,7.078949,82.74781,101192.21
2009-01-01,9.057922,84.60708,101017.086
2009-02-01,8.552612,79.65419,101032.44
2009-03-01,11.408234,80.7901,100760.72
2009-04-01,11.497589,82.88903,100868.13
2009-05-01,14.135529,80.52628,100849.836
2009-06-01,16.506104,74.44123,100583.07
2009-07-01,18.477661,74.00888,100218.63
2009-08-01,18.367828,79.39067,100427.586
2009-09-01,17.008331,76.88742,100433.75
2009-10-01,14.744263,77.81931,100830.66
2009-11-01,13.805878,75.915146,101260.23
2009-12-01,9.543121,78.665695,101394.47
2010-01-01,10.429718,84.84508,101471.945
2010-02-01,9.545044,77.488,101005.625
2010-03-01,9.005585,83.73578,100828.414
2010-04-01,12.972534,76.59533,100938.77
2010-05-01,15.6241455,73.050575,100779.08
2010-06-01,16.944153,67.32222,100503.15
2010-07-01,18.039764,77.78998,100461.23
2010-08-01,16.556732,78.84758,100252.586
2010-09-01,17.44223,67.229,100425.77
2010-10-01,16.463013,72.490005,100906.016
2010-11-01,11.521545,79.36281,100990.39
2010-12-01,9.839386,85.48128,100977.195
2011-01-01,8.998291,89.95426,101221.37
2011-02-01,8.117889,84.65879,100547.375
2011-03-01,8.82605,77.97591,100886.56
2011-04-01,11.934509,83.46877,100822.97
2011-05-01,16.029053,70.93674,100759.81
2011-06-01,16.746613,75.11037,100639.4
2011-07-01,18.840607,78.5335,100369.73
2011-08-01,19.244843,77.431335,100435.93
2011-09-01,18.517487,67.3495,100302.68
2011-10-01,14.084015,72.98194,100511.17
2011-11-01,11.662659,76.42177,101146.36
2011-12-01,9.547424,87.45512,101260.37
2012-01-01,9.216492,86.46341,101204.92
2012-02-01,10.512756,84.38896,101275.05
2012-03-01,10.092224,83.93583,101066.71
2012-04-01,11.365112,76.25153,100751.305
2012-05-01,14.270111,80.63042,100924.56
2012-06-01,17.548737,76.26763,100406.5
2012-07-01,17.958923,80.31021,100459.766
2012-08-01,19.385803,72.64457,100075.63
2012-09-01,19.831238,74.57962,100498.82
2012-10-01,16.839233,82.0172,100427.39
2012-11-01,12.654968,81.63418,101292.46
2012-12-01,8.75647,86.383736,101104.41
2013-01-01,9.40863,86.32417,100962.12
2013-02-01,9.390076,89.15681,101195.99
2013-03-01,11.488647,74.40943,101057.48
2013-04-01,13.64035,74.36976,100956.62
2013-05-01,14.932922,73.391075,100706.48
2013-06-01,16.489075,73.731415,100452.58
2013-07-01,17.777496,78.15731,100440.61
2013-08-01,18.668,77.41914,100325.43
