time,tas,hurs,ps
2000-01-01,0.33187866,79.38686,100546.336
2000-02-01,3.1892395,82.25486,100232.164
2000-03-01,5.3618774,69.15573,99731.89
2000-04-01,11.749451,69.75625,99771.266
2000-05-01,19.617004,61.620125,99854.58
2000-06-01,21.22522,69.31086,99637.055
2000-07-01,26.6055,62.983116,99713.086
2000-08-01,22.441101,60.702652,99454.36
2000-09-01,19.318634,56.4318,99787.65
2000-10-01,13.89743,71.4722,99996.5
2000-11-01,1.6081848,85.646065,100195.6
2000-12-01,-0.22286987,76.84965,100545.45
2001-01-01,-5.259094,77.86033,99978.39
2001-02-01,2.9344482,78.62451,100200.76
2001-03-01,5.8450317,74.13958,99715.34
2001-04-01,9.57962,70.48526,100030.67
2001-05-01,16.367401,70.25652,100183.58
2001-06-01,23.413605,68.529144,99411.695
2001-07-01,24.956848,69.037506,99319.37
2001-08-01,25.713257,60.96726,99367.445
2001-09-01,18.945892,75.26254,99913.04
2001-10-01,10.314026,74.78694,99603.64
2001-11-01,3.703003,84.62188,99598.586
2001-12-01,-2.0916748,88.40406,99878.63
2002-01-01,-3.3344727,77.45092,100385.21
2002-02-01,5.268158,71.34929,99892.734
2002-03-01,4.3449097,75.86167,100308.15
2002-04-01,10.1137085,70.34428,100027.18
2002-05-01,17.426514,66.65781,99923.71
2002-06-01,20.473969,68.13263,99685.92
2002-07-01,26.028107,65.39352,99376.55
2002-08-01,27.379974,53.51848,99486.87
2002-09-01,20.636993,67.62124,99531.78
2002-10-01,12.931091,67.652176,100237.0
2002-11-01,4.9835205,81.36252,100156.98
2002-12-01,0.9387207,79.46693,100440.46
2003-01-01,5.89859,80.46796,100504.72
2003-02-01,2.246521,73.155464,100458.414
2003-03-01,4.7940063,77.42161,100219.805
2003-04-01,16.358978,67.80806,99892.4
2003-05-01,19.934387,60.334793,99862.94
2003-06-01,21.554169,66.948685,99771.195
2003-07-01,27.375488,61.5179,99397.66
2003-08-01,24.84076,61.07384,99529.11
2003-09-01,21.292511,59.008896,99805.02
2003-10-01,13.749512,62.782932,100035.27
2003-11-01,8.961517,81.42229,99931.75
2003-12-01,2.7852478,86.07771,100031.28
2004-01-01,4.3530884,82.40817,100333.87
2004-02-01,8.1493225,83.537415,100314.8
2004-03-01,9.167786,72.21245,100304.78
2004-04-01,12.77887,71.53773,100171.9
2004-05-01,17.406006,71.796715,99552.766
2004-06-01,22.082947,70.61521,99584.266
2004-07-01,25.647491,59.36165,99723.586
2004-08-01,25.32016,62.44242,99314.05
2004-09-01,20.582611,55.471664,99747.84
2004-10-01,14.485809,70.130165,100851.305
2004-11-01,2.2875977,82.699425,100292.836
2004-12-01,0.29022217,76.08312,99898.65
2005-01-01,-0.40264893,80.39671,100230.1
2005-02-01,-2.6100159,76.77632,100469.23
2005-03-01,5.243927,77.77375,100023.836
2005-04-01,10.386078,65.6194,99638.14
2005-05-01,18.72583,71.75298,99834.36
2005-06-01,23.699066,64.19279,99802.51
2005-07-01,24.428009,66.5696,99372.88
2005-08-01,22.88504,70.11768,99364.414
2005-09-01,19.569916,62.76254,99880.01
2005-10-01,15.794434,78.23256,99990.29
2005-11-01,10.159424,82.33642,99682.305
2005-12-01,0.960022,87.38306,100214.47
2006-01-01,-3.9484253,78.502235,100265.43
2006-02-01,0.6498413,78.63249,100085.74
2006-03-01,2.823883,75.04179,99968.14
2006-04-01,14.119324,62.56514,100176.76
2006-05-01,18.571259,56.235706,100039.24
2006-06-01,20.089905,71.05167,99618.664
2006-07-01,26.01587,68.92584,99344.47
2006-08-01,25.665497,66.59862,99559.77
2006-09-01,21.190125,58.34077,99718.43
2006-10-01,12.818298,67.02888,100150.19
2006-11-01,6.513855,65.07809,100435.52
2006-12-01,0.5206604,87.623344,99907.63
2007-01-01,-0.5958252,79.90172,100111.5
2007-02-01,0.13461304,79.22194,100473.64
2007-03-01,6.816437,74.01181,100301.03
2007-04-01,14.687073,60.944534,99724.23
2007-05-01,16.662048,73.02585,99833.04
2007-06-01,22.430023,73.17795,99459.28
2007-07-01,26.392456,57.650894,99519.64
2007-08-01,24.664795,56.167164,99209.37
2007-09-01,19.392517,69.04619,99904.336
2007-10-01,18.480286,82.27013,99971.69
2007-11-01,10.204437,90.51011,100246.484
2007-12-01,-0.6895752,83.88432,100164.26
2008-01-01,-6.25177,84.81102,100225.62
2008-02-01,6.7332153,75.99261,100307.15
2008-03-01,10.329895,76.53686,99844.48
2008-04-01,7.2783813,75.14209,100023.86
2008-05-01,18.134644,64.85687,99728.66
2008-06-01,21.010681,78.671486,99373.625
2008-07-01,27.794525,54.032146,99429.74
2008-08-01,26.201141,56.636826,99217.12
2008-09-01,21.622955,47.816044,99728.99
2008-10-01,14.868134,45.138805,100119.16
2008-11-01,6.1038513,70.02588,100153.33
2008-12-01,-0.11325073,87.02098,99856.93
2009-01-01,-1.6564636,82.874565,100030.26
2009-02-01,1.7103882,80.72044,100393.65
2009-03-01,3.5358887,73.226494,100099.21
2009-04-01,13.713654,73.48258,99384.92
2009-05-01,19.427734,60.35259,100181.58
2009-06-01,23.431885,67.36505,99516.39
2009-07-01,28.042084,55.573162,99349.62
2009-08-01,26.324493,56.27759,99630.6
2009-09-01,21.028381,51.46586,99907.84
2009-10-01,13.779083,66.05981,100302.9
2009-11-01,4.720154,80.40409,100301.62
2009-12-01,0.32034302,86.39012,101033.63
2010-01-01,1.2836304,84.158066,100199.64
2010-02-01,4.5456543,80.57213,100176.81
2010-03-01,11.356445,73.43345,99934.78
2010-04-01,13.972656,68.8616,99881.6
2010-05-01,16.956512,63.51913,99884.914
2010-06-01,22.996277,68.20782,99310.62
2010-07-01,25.6922,53.58832,99686.25
2010-08-01,27.790894,61.018353,99258.22
2010-09-01,20.273224,58.16185,99696.8
2010-10-01,14.480896,75.021484,100535.6
2010-11-01,6.2084656,77.985954,99642.2
2010-12-01,1.0230408,80.09004,100151.695
2011-01-01,-0.29641724,81.68359,100409.45
2011-02-01,2.517395,83.22974,100238.24
2011-03-01,6.0169067,79.40465,100110.41
2011-04-01,10.109772,70.37826,99543.45
2011-05-01,13.155853,68.21529,99912.72
2011-06-01,25.767792,57.293285,99587.89
2011-07-01,24.610565,64.91963,99398.695
2011-08-01,25.834076,63.371723,99564.18
2011-09-01,19.180054,60.137783,99694.71
2011-10-01,13.109009,76.59253,99966.31
2011-11-01,8.256836,78.00528,100271.15
2011-12-01,0.61135864,77.80835,100180.86
2012-01-01,1.1439819,79.611015,99929.45
2012-02-01,2.5173035,77.2618,100345.72
2012-03-01,9.210388,83.586075,100145.15
2012-04-01,9.968506,72.994965,99626.76
2012-05-01,15.621857,74.725044,99778.38
2012-06-01,23.367432,61.18165,99806.664
2012-07-01,25.17749,64.656456,99598.28
2012-08-01,25.243683,64.602066,99213.07
2012-09-01,17.749847,71.319984,100092.42
2012-10-01,17.490875,68.11863,99576.06
2012-11-01,5.53598,81.681145,100011.23
2012-12-01,2.7399292,87.55953,100179.01
2013-01-01,-1.8611145,82.11131,100024.78
2013-02-01,3.6581726,79.63643,100336.27
2013-03-01,8.01239,75.4187,99964.55
2013-04-01,9.01239,75.8348,100011.57
2013-05-01,18.456726,65.29789,99630.164
2013-06-01,23.963226,64.4266,99450.47
2013-07-01,26.740662,66.13322,99252.695
2013-08-01,24.539398,71.28514,99369.0
2013-09-01,20.594055,71.69759,99578.664
2013-10-01,11.018768,68.46801,100426.66
2013-11-01,3.9575195,85.171974,100382.63
2013-12-01,4.522064,81.82961,100186.21
2014-01-01,-0.8357544,83.484535,99795.234
2014-02-01,-3.6218872,72.39292,100509.82
2014-03-01,3.978119,75.833534,100032.305
2014-04-01,11.297607,76.83898,99916.53
2014-05-01,19.488495,72.194695,99683.21
2014-06-01,21.984894,66.76468,99571.15
2014-07-01,25.518005,72.65533,99621.95
2014-08-01,23.826416,67.99737,99230.8
2014-09-01,18.115784,69.035,100137.97
2014-10-01,14.354462,70.807365,100087.64
2014-11-01,6.4408875,72.159035,99937.8
2014-12-01,-1.1247253,77.354416,100269.51
2015-01-01,0.5097656,87.99029,100449.69
2015-02-01,-5.494751,77.94361,100419.06
2015-03-01,2.7164917,74.432236,100408.11
2015-04-01,13.36853,69.7282,99921.26
2015-05-01,18.27829,60.627293,99692.61
2015-06-01,22.720581,59.136974,99611.664
2015-07-01,24.835114,69.30348,99542.99
2015-08-01,25.310852,55.927322,99274.35
2015-09-01,18.083008,75.503296,99842.836
2015-10-01,12.591339,69.45166,99828.55
2015-11-01,3.6329346,84.131676,100396.805
2015-12-01,-4.9216614,83.215126,100466.016
2016-01-01,-1.2015076,74.607414,100361.91
2016-02-01,2.5260315,77.1383,99816.76
2016-03-01,4.7153625,76.931564,100256.15
2016-04-01,12.697205,71.36016,99903.2
2016-05-01,17.424988,71.28215,99655.836
2016-06-01,20.684631,72.85988,99371.09
2016-07-01,24.794495,72.913055,99505.29
2016-08-01,21.981018,69.04518,99270.53
2016-09-01,19.644897,65.656456,99769.27
2016-10-01,11.687134,70.31211,100045.28
2016-11-01,7.2253113,84.372475,100255.78
2016-12-01,3.989746,84.13624,100250.55
2017-01-01,-4.0665283,77.42211,100434.305
2017-02-01,0.03012085,75.69379,99980.945
2017-03-01,2.3702087,78.541695,99866.49
2017-04-01,8.486572,72.785805,99762.164
2017-05-01,15.110291,70.21733,99729.2
2017-06-01,21.464783,72.947105,99553.63
2017-07-01,24.248749,73.8451,99468.836
2017-08-01,24.95282,68.02647,99282.84
2017-09-01,19.301636,77.104744,99304.58
