month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2025-12,Anxiety Disorders,Age,12-17 years,1817
2025-12,Anxiety Disorders,Age,18-34 years,2542
2025-12,Anxiety Disorders,Age,35-64 years,2874
2025-12,Anxiety Disorders,Age,65+ years,2657
2025-12,Anxiety Disorders,Age,All,2338
2025-11,Anxiety Disorders,Age,12-17 years,2159
2025-11,Anxiety Disorders,Age,18-34 years,2861
2025-11,Anxiety Disorders,Age,35-64 years,3108
2025-11,Anxiety Disorders,Age,65+ years,2831
2025-11,Anxiety Disorders,Age,All,2578
2025-10,Anxiety Disorders,Age,12-17 years,2190
2025-10,Anxiety Disorders,Age,18-34 years,2905
2025-10,Anxiety Disorders,Age,35-64 years,3114
2025-10,Anxiety Disorders,Age,65+ years,2822
2025-10,Anxiety Disorders,Age,All,2614
2025-09,Anxiety Disorders,Age,12-17 years,2137
2025-09,Anxiety Disorders,Age,18-34 years,2879
2025-09,Anxiety Disorders,Age,35-64 years,3066
2025-09,Anxiety Disorders,Age,65+ years,2772
2025-09,Anxiety Disorders,Age,All,2583
2025-08,Anxiety Disorders,Age,12-17 years,2190
2025-08,Anxiety Disorders,Age,18-34 years,2883
2025-08,Anxiety Disorders,Age,35-64 years,3058
2025-08,Anxiety Disorders,Age,65+ years,2731
2025-08,Anxiety Disorders,Age,All,2604
2025-07,Anxiety Disorders,Age,12-17 years,2347
2025-07,Anxiety Disorders,Age,18-34 years,2910
2025-07,Anxiety Disorders,Age,35-64 years,3067
2025-07,Anxiety Disorders,Age,65+ years,2694
2025-07,Anxiety Disorders,Age,All,2635
2025-06,Anxiety Disorders,Age,12-17 years,2267
2025-06,Anxiety Disorders,Age,18-34 years,2923
2025-06,Anxiety Disorders,Age,35-64 years,3069
2025-06,Anxiety Disorders,Age,65+ years,2705
2025-06,Anxiety Disorders,Age,All,2616
2025-05,Anxiety Disorders,Age,12-17 years,2197
2025-05,Anxiety Disorders,Age,18-34 years,2893
2025-05,Anxiety Disorders,Age,35-64 years,3055
2025-05,Anxiety Disorders,Age,65+ years,2692
2025-05,Anxiety Disorders,Age,All,2552
2025-04,Anxiety Disorders,Age,12-17 years,2247
2025-04,Anxiety Disorders,Age,18-34 years,2904
2025-04,Anxiety Disorders,Age,35-64 years,3071
2025-04,Anxiety Disorders,Age,65+ years,2713
2025-04,Anxiety Disorders,Age,All,2564
2025-03,Anxiety Disorders,Age,12-17 years,2222
2025-03,Anxiety Disorders,Age,18-34 years,2877
2025-03,Anxiety Disorders,Age,35-64 years,3059
2025-03,Anxiety Disorders,Age,65+ years,2738
2025-03,Anxiety Disorders,Age,All,2546
2025-02,Anxiety Disorders,Age,12-17 years,1979
2025-02,Anxiety Disorders,Age,18-34 years,2689
2025-02,Anxiety Disorders,Age,35-64 years,2879
2025-02,Anxiety Disorders,Age,65+ years,2632
2025-02,Anxiety Disorders,Age,All,2390
2025-01,Anxiety Disorders,Age,12-17 years,2001
