month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2025-12,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2572
2025-12,Anxiety Disorders,RaceEthnicity,All,2338
2025-12,Anxiety Disorders,RaceEthnicity,"Asian, NH",1370
2025-12,Anxiety Disorders,RaceEthnicity,"Black, NH",1445
2025-12,Anxiety Disorders,RaceEthnicity,Hispanic,1846
2025-12,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1623
2025-12,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1272
2025-12,Anxiety Disorders,RaceEthnicity,"White, NH",2938
2025-11,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2808
2025-11,Anxiety Disorders,RaceEthnicity,All,2578
2025-11,Anxiety Disorders,RaceEthnicity,"Asian, NH",1529
2025-11,Anxiety Disorders,RaceEthnicity,"Black, NH",1645
2025-11,Anxiety Disorders,RaceEthnicity,Hispanic,2046
2025-11,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1914
2025-11,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1384
2025-11,Anxiety Disorders,RaceEthnicity,"White, NH",3178
2025-10,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2827
2025-10,Anxiety Disorders,RaceEthnicity,All,2614
2025-10,Anxiety Disorders,RaceEthnicity,"Asian, NH",1549
2025-10,Anxiety Disorders,RaceEthnicity,"Black, NH",1649
2025-10,Anxiety Disorders,RaceEthnicity,Hispanic,2096
2025-10,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1915
2025-10,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1471
2025-10,Anxiety Disorders,RaceEthnicity,"White, NH",3224
2025-09,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2673
2025-09,Anxiety Disorders,RaceEthnicity,All,2583
2025-09,Anxiety Disorders,RaceEthnicity,"Asian, NH",1560
2025-09,Anxiety Disorders,RaceEthnicity,"Black, NH",1609
2025-09,Anxiety Disorders,RaceEthnicity,Hispanic,2095
2025-09,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1933
2025-09,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1406
2025-09,Anxiety Disorders,RaceEthnicity,"White, NH",3179
2025-08,Anxiety Disorders,RaceEthnicity,"AI/AN, NH",2765
2025-08,Anxiety Disorders,RaceEthnicity,All,2604
2025-08,Anxiety Disorders,RaceEthnicity,"Asian, NH",1591
2025-08,Anxiety Disorders,RaceEthnicity,"Black, NH",1642
2025-08,Anxiety Disorders,RaceEthnicity,Hispanic,2137
2025-08,Anxiety Disorders,RaceEthnicity,"Multiple/Other, NH",1923
2025-08,Anxiety Disorders,RaceEthnicity,"NHOPI, NH",1468
