month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2025-12,Anxiety Disorders,Sex,All,2338
2025-12,Anxiety Disorders,Sex,Female,2676
2025-12,Anxiety Disorders,Sex,Male,1919
2025-11,Anxiety Disorders,Sex,All,2578
2025-11,Anxiety Disorders,Sex,Female,2963
2025-11,Anxiety Disorders,Sex,Male,2102
2025-10,Anxiety Disorders,Sex,All,2614
2025-10,Anxiety Disorders,Sex,Female,3032
2025-10,Anxiety Disorders,Sex,Male,2102
2025-09,Anxiety Disorders,Sex,All,2583
2025-09,Anxiety Disorders,Sex,Female,3001
2025-09,Anxiety Disorders,Sex,Male,2071
2025-08,Anxiety Disorders,Sex,All,2604
2025-08,Anxiety Disorders,Sex,Female,3032
2025-08,Anxiety Disorders,Sex,Male,2085
2025-07,Anxiety Disorders,Sex,All,2635
2025-07,Anxiety Disorders,Sex,Female,3064
2025-07,Anxiety Disorders,Sex,Male,2119
2025-06,Anxiety Disorders,Sex,All,2616
2025-06,Anxiety Disorders,Sex,Female,3043
2025-06,Anxiety Disorders,Sex,Male,2102
2025-05,Anxiety Disorders,Sex,All,2552
2025-05,Anxiety Disorders,Sex,Female,2962
2025-05,Anxiety Disorders,Sex,Male,2056
2025-04,Anxiety Disorders,Sex,All,2564
2025-04,Anxiety Disorders,Sex,Female,2972
2025-04,Anxiety Disorders,Sex,Male,2060
2025-03,Anxiety Disorders,Sex,All,2546
2025-03,Anxiety Disorders,Sex,Female,2945
2025-03,Anxiety Disorders,Sex,Male,2056
2025-02,Anxiety Disorders,Sex,All,2390
2025-02,Anxiety Disorders,Sex,Female,2755
2025-02,Anxiety Disorders,Sex,Male,1945
2025-01,Anxiety Disorders,Sex,All,2333
2025-01,Anxiety Disorders,Sex,Female,2673
2025-01,Anxiety Disorders,Sex,Male,1916
2024-12,Anxiety Disorders,Sex,All,2273
2024-12,Anxiety Disorders,Sex,Female,2602
2024-12,Anxiety Disorders,Sex,Male,1868
2024-11,Anxiety Disorders,Sex,All,2457
2024-11,Anxiety Disorders,Sex,Female,2830
2024-11,Anxiety Disorders,Sex,Male,1998
2024-10,Anxiety Disorders,Sex,All,2482
2024-10,Anxiety Disorders,Sex,Female,2877
2024-10,Anxiety Disorders,Sex,Male,2003
2024-09,Anxiety Disorders,Sex,All,2492
2024-09,Anxiety Disorders,Sex,Female,2896
2024-09,Anxiety Disorders,Sex,Male,2003
2024-08,Anxiety Disorders,Sex,All,2522
2024-08,Anxiety Disorders,Sex,Female,2928
2024-08,Anxiety Disorders,Sex,Male,2031
